venueid,label
4a76204cf964a52052e21fe3,14
4a55476bf964a520fdb31fe3,15
49c8040df964a520e3571fe3,15
474dd5a6f964a520ae4c1fe3,15
49c9526ff964a52055581fe3,15
3fd66200f964a520e8f01ee3,15
4127e200f964a520540c1fe3,15
4541114bf964a520433c1fe3,-1
4b89fb5df964a5200d5a32e3,-1
440da2cbf964a52091301fe3,-1
4a04dce7f964a52036721fe3,12
46a6a0b3f964a52045491fe3,-1
427c0500f964a52097211fe3,7
3fd66200f964a520ddf01ee3,-1
49d17a2df964a520865b1fe3,16
4b004d3ff964a520863c22e3,16
4bc7da668b7c9c74225837cf,-1
49f8d830f964a5202c6d1fe3,-1
4bd2177d046076b055357371,17
4a5d7fa0f964a520a9bd1fe3,-1
41f43a80f964a520281f1fe3,4
4a33da8ef964a520559b1fe3,3
4a5403b8f964a520f3b21fe3,18
41326e00f964a520c0131fe3,-1
49cc1e1ef964a52049591fe3,19
4ae0e2bcf964a520608321e3,4
4aa9386ef964a5208b5220e3,18
42829c80f964a5206a221fe3,-1
4bb2a1e2715eef3b998985bb,20
3fd66200f964a5207bee1ee3,20
4394dc84f964a520862b1fe3,21
40e74880f964a520150a1fe3,22
40d38200f964a52040011fe3,-1
440da323f964a52092301fe3,-1
44d1efc9f964a52032361fe3,-1
4a47e4f1f964a52040aa1fe3,23
3fd66200f964a520a0ee1ee3,-1
4bfe71ede529c928c852bc8c,-1
49e0e4aaf964a5207b611fe3,15
4493522af964a5207c341fe3,-1
49d046d0f964a520185b1fe3,19
49e3aa19f964a520aa621fe3,4
4c5ef77bfff99c74eda954d3,24
4a071c3af964a52028731fe3,10
4aa55181f964a520004820e3,10
49f60f59f964a520fa6b1fe3,10
4afe5a4bf964a520372f22e3,12
4a179fb5f964a5206b791fe3,-1
4be9d7034f5576b0cb11b396,25
4a55c1f7f964a52046b41fe3,-1
43c14306f964a5203c2d1fe3,12
45f412e6f964a520f6431fe3,-1
49c59d4df964a52015571fe3,-1
4106ec80f964a520870b1fe3,26
49ff928df964a52036701fe3,27
44d17cecf964a5202b361fe3,-1
41390580f964a520d81a1fe3,19
49de3759f964a52035601fe3,28
3fd66200f964a52068ee1ee3,29
431e2d80f964a52081271fe3,30
49cdc778f964a520155a1fe3,30
49ff2b03f964a520e76f1fe3,16
49b7ed6df964a52030531fe3,31
43beb599f964a520192d1fe3,32
4a860005f964a520080020e3,9
411ff900f964a5202b0c1fe3,16
3fd66200f964a52080ee1ee3,8
4a7495c3f964a520bdde1fe3,12
464c7c8af964a520b8461fe3,12
41059b00f964a5207f0b1fe3,12
49cff672f964a520e95a1fe3,33
4a3b08fdf964a52086a01fe3,-1
459ecd01f964a520bf401fe3,-1
